album_id,artist_id
2330,1037
2331,1037
2332,1038
2333,584
2334,760
2335,760
2336,840
2337,1002
2338,679
2339,1027
2340,743
2341,702
2342,588
2343,716
2344,702
2345,717
2346,930
2347,1040
2348,1040
2349,562
2350,1041
2351,570
2352,726
2353,1042
2354,1043
2355,1044
2356,1045
2357,829
2358,1046
2359,24
2360,1047
2361,702
2362,114
2363,562
2364,930
2365,1048
2366,679
2367,562
2368,75
2369,24
2370,24
2371,75
2372,24
2373,799
2374,1049
2375,799
2376,562
2377,562
2378,570
2379,25
2380,562
2382,584
2383,62
2384,1050
2385,717
2386,24
2387,1051
2388,760
2389,918
2390,920
2391,893
2392,716
2393,1052
2394,1053
2395,1054
2396,621
2397,562
2398,562
2399,927
2400,1055
2401,1055
2402,578
2403,1056
2404,1057
2405,650
2406,1058
2407,1059
2408,1060
2409,1060
2410,1060
2411,636
2412,588
2413,588
2414,588
2415,624
2416,930
2417,716
2418,1061
2419,935
2420,588
2421,588
2422,549
2424,787
2425,549
2426,13
2428,13
2429,87
2430,104
2431,924
2432,1063
2434,814
2435,1064
2436,1064
2437,178
2438,52
2439,597
2440,761
2441,1065
2442,1065
2443,52
2445,13
2446,1066
2447,1065
2448,1065
2449,1065
2450,1067
2451,1068
2452,815
2453,1069
2454,1070
2455,1071
2456,1072
2457,1073
2458,1074
2459,1067
2460,404
2461,40
2462,40
2463,40
2464,40
2465,1075
2466,224
2467,36
2468,3
2470,832
2471,1077
2473,1077
2474,38
2475,1078
2476,1079
2477,40
2478,2
2479,1080
2480,1081
2481,3
2482,2
2483,286
2484,1082
2485,22
2486,1083
2487,24
2488,562
2489,803
2490,1084
2491,55
2492,1085
2493,47
2494,60
2495,60
2497,291
2498,1087
2499,920
2500,361
2502,224
2503,47
2504,355
2505,47
2506,60
2507,657
2508,157
2509,1088
2510,1088
2511,1088
2512,1089
2513,1090
2514,1091
2515,1092
2516,1093
2517,216
2518,1093
2519,1094
2520,1095
2521,1096
2522,224
2523,17
2524,60
2525,1097
2526,143
2527,472
2528,699
2529,292
2530,208
2531,143
2532,1085
2533,1098
2534,1099
2535,1100
2536,1093
2537,78
2538,101
2539,224
2540,761
2541,107
2542,107
2543,1101
2544,1102
2545,1103
2546,143
2547,1104
2549,1105
2550,107
2551,367
2552,367
2553,1106
2554,8
2555,352
2556,107
2557,1107
2558,367
2559,257
2560,1108
2561,367
2562,143
2564,367
2565,17
2566,97
2567,17
2568,17
2569,1110
2570,1111
2571,1112
2572,24
2573,1113
2574,256
2575,81
2576,584
2577,1114
2578,588
2579,1115
2580,1116
2581,1117
2582,1118
2583,1119
2584,1120
2585,1121
2586,1119
2587,1122
2588,1123
2589,1124
2590,588
2591,884
2592,562
2593,1125
2594,702
2595,2
2596,1126
2597,1127
2598,1128
2599,1128
2600,1128
2601,803
2602,1129
2603,1084
2604,21
2605,724
2606,1130
2607,724
2608,724
2609,1084
2610,1131
2611,1132
2612,1133
2613,209
2614,1134
2615,1135
2616,1136
2617,1137
2618,1138
2619,783
2620,501
2621,562
2622,562
2623,562
2624,562
2625,1140
2626,111
2627,819
2628,819
2629,819
2630,1141
2631,1142
2632,1143
2633,1144
2634,1143
2635,1145
2636,1146
2637,1142
2638,1147
2639,1142
2640,1142
2641,1142
2642,715
2643,810
2644,1148
2645,718
2646,1149
2647,1150
2648,718
2649,819
2650,242
2651,765
2652,765
2653,7
2654,13
2655,765
2656,81
2657,924
2658,62
2659,1151
2660,1152
2661,17
2662,13
2663,242
2664,242
2665,154
2666,587
2668,1153
2669,1154
2670,582
2671,3
2672,2
2673,146
2674,1155
2675,1156
2676,32
2677,729
2678,1157
2679,1156
2680,115
2681,1143
2682,254
2683,213
2684,78
2685,117
2686,1158
2687,1158
2688,1158
2689,1158
2690,1158
2691,7
2693,44
2694,1159
2695,66
2696,679
2697,679
2698,13
2700,623
2701,249
2702,1160
2703,27
2704,200
2705,1075
2706,1161
2707,200
2708,1162
2709,207
2710,193
2711,193
2712,167
2713,167
2714,1163
2715,78
2716,193
2717,1164
2718,715
2719,1165
2720,715
2721,104
2722,939
2723,1127
2725,595
2726,595
2727,595
2728,1166
2729,1167
2730,1168
2731,1167
2732,1169
2733,1170
2734,1171
2735,1172
2736,620
2737,620
2738,22
2739,108
2740,1173
2741,1174
2742,1175
2743,1176
2744,1177
2745,1178
2746,1179
2747,1180
2748,1181
2749,1182
2750,1183
2751,1184
2752,1185
2753,277
2754,87
2755,1186
2756,1187
2757,1187
2758,1188
2760,1190
2761,1191
2762,1192
2763,1014
2764,1193
2765,1194
2766,1194
2767,139
2768,1195
2769,1196
2770,1197
2771,31
2772,746
2773,13
2774,620
2775,52
2776,1198
2777,1199
2778,32
2779,104
2780,31
2781,16
2782,1200
2783,1201
2784,1143
2785,193
2786,1202
2787,786
2788,1203
2789,786
2790,786
2791,1204
2792,1205
2793,1204
2794,48
2795,1003
2796,106
2797,242
2798,803
2799,37
2800,1065
2801,48
2802,1201
2803,1127
2804,1127
2805,1127
2806,1206
2807,1206
2808,722
2809,1129
2810,579
2811,755
2812,183
2813,1097
2814,1207
2815,752
2816,803
2817,1208
2818,603
2819,216
2820,752
2821,216
2823,1143
2824,761
2825,45
2826,761
2827,27
2828,97
2829,597
2830,1209
2831,104
2832,1210
2833,1211
2834,1212
2835,14
2836,73
2837,761
2838,1213
2839,73
2840,17
2841,1214
2842,73
2843,338
2844,786
2845,37
2846,193
2848,2
2849,845
2850,1091
2851,1215
2852,1216
2853,1217
2855,27
2856,338
2857,1159
2858,3
2859,829
2860,803
2861,1219
2862,1219
2863,1219
2864,809
2865,1220
2866,1221
2867,1222
2868,1223
2869,1224
2870,1225
2871,526
2872,1226
2873,1220
2874,1227
2875,108
2876,756
2877,1228
2878,1229
2879,283
2880,1230
2881,1231
2882,1232
2883,1233
2884,541
2885,1234
2886,1235
2887,1236
2888,157
2889,157
2890,157
2891,1237
2892,157
2893,157
2894,1238
2895,157
2896,157
2897,157
2898,157
2899,608
2900,367
2901,1239
2902,1239
2903,1240
2904,1240
2905,1240
2906,1240
2907,1241
2908,1241
2909,1242
2910,635
2911,1173
2912,1173
2913,1173
2914,1173
2915,1173
2916,1173
2917,1173
2919,183
2920,183
2921,183
2922,183
2923,183
2924,183
2925,1243
2926,1244
2927,799
2928,1243
2929,16
2930,16
2931,1197
2932,32
2933,731
2934,59
2935,78
2936,14
2937,1245
2938,1064
2939,1246
2940,10
2941,1247
2942,15
2943,1062
2944,1246
2945,1248
2946,15
2947,1064
2949,729
2950,1249
2951,15
2952,825
2953,825
2954,825
2955,825
2956,825
2957,825
2958,16
2959,729
2960,1250
2961,3
2962,146
2963,146
2964,1251
2966,1045
2967,829
2968,1252
2969,1253
2970,1254
2971,597
2972,1255
2973,1256
2974,3
2975,597
2976,597
2977,494
2978,1257
2979,565
2980,27
2981,920
2982,562
2983,562
2984,568
2985,840
2986,1258
2987,717
2988,884
2989,1259
2990,588
2991,579
2992,993
2993,702
2994,1260
2995,1261
2996,115
2997,1262
2998,1263
2999,1264
3000,1265
3001,57
3002,765
3003,900
3004,189
3005,1266
3006,228
3008,353
3009,1267
3010,1266
3011,123
3012,1268
3013,1268
3014,136
3015,1269
3016,1197
3017,6
3018,1270
3019,579
3020,588
3021,562
3022,884
3023,993
3024,24
3025,588
3026,562
3027,1123
3028,569
3029,566
3030,636
3032,379
3033,1272
3034,1273
3035,1274
3036,1275
3037,101
3038,1276
3039,534
3040,22
3041,1277
3042,228
3043,228
3045,1279
3046,1280
3047,101
3048,1281
3049,582
3050,797
3051,1282
3052,728
3053,733
3054,1283
3055,4
3056,996
